구 분,구 분_2,당기,전기
배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
배당받을 주식,우선주,"822,886,700주","822,886,700주"
배당률(액면가 기준),보통주,1932%,354%
배당률(액면가 기준),우선주,1933%,355%
배당금액,보통주,11533620.0,2113303.0
배당금액,우선주,1590640.0,292125.0
배당금액,계,13124260.0,2405428.0
