구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업,삼성에스디에스,22933.0,0.0,1682403.0,173357.0
관계기업,삼성전기,22631.0,110.0,1015965.0,0.0
관계기업,삼성테크윈,914.0,0.0,55061.0,51650.0
관계기업,삼성카드,7634.0,0.0,16973.0,170739.0
관계기업,기타,246097.0,10433.0,221964.0,655.0
관계기업,관계기업 계,300209.0,10543.0,2992366.0,396401.0
공동기업,삼성코닝정밀소재(*1),143.0,0.0,0.0,0.0
공동기업,Siltronic Samsung Wafer,0.0,0.0,153610.0,0.0
공동기업,기타,1587.0,647.0,8557.0,0.0
공동기업,공동기업 계,1730.0,647.0,162167.0,0.0
그 밖의 특수관계자,제일모직(*2),6308.0,0.0,98227.0,374046.0
그 밖의 특수관계자,삼성SDI,35911.0,324246.0,496217.0,345835.0
그 밖의 특수관계자,기타,112803.0,0.0,286599.0,0.0
그 밖의 특수관계자,그 밖의 특수관계자 계,155022.0,324246.0,881043.0,719881.0
