지역,기업명,업종,지분율(%)(*)
국내,하이파이오니어 사모특별자산투자신탁1호,"신기술사업자, 벤처기업 투자",100.0
국내,삼성디스플레이,디스플레이 제조 및 판매,84.8
국내,에스유머티리얼스,디스플레이 부품 생산,50.0
국내,스테코,반도체 부품생산,51.0
국내,세메스,반도체/FPD제조장비,91.5
국내,삼성전자서비스,전자제품 수리서비스,99.3
국내,삼성전자판매,전자제품 판매,100.0
국내,삼성전자로지텍,종합물류대행,100.0
국내,삼성메디슨,의료기기,68.5
국내,레이,Dental CT,68.1
국내,SVIC 6호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 14호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 20호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 21호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 22호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 23호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 26호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 27호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
