금융자산,당기손익인식 금융자산,대여금 및 수취채권,매도가능 금융자산,합계
평가손익(기타포괄손익),0.0,0.0,840908.0,840908.0
평가/처분손익(당기손익),13859.0,-1325.0,1061427.0,1073961.0
평가손익(손익대체),0.0,0.0,-978094.0,-978094.0
이자수익,0.0,644550.0,5058.0,649608.0
외환차이(당기손익),0.0,-367976.0,0.0,-367976.0
배당수익,0.0,0.0,67087.0,67087.0
손상/환입(당기손익),0.0,-15473.0,0.0,-15473.0
