기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,35754894.0,6682229.0,29386907.0,2400779.0
Samsung Electronics America(SEA),12248560.0,7262519.0,14321018.0,70690.0
Samsung (China) Investment(SCIC),8406438.0,6780610.0,25605822.0,743369.0
Samsung Electronics Europe Holding(SEEH),5780302.0,4025760.0,0.0,-17863.0
Samsung Electronics Huizhou(SEHZ),4599200.0,1802686.0,22664923.0,1012728.0
Samsung (China) Semiconductor(SCS),3752682.0,1284560.0,0.0,-40537.0
Samsung Electronica da Amazonia(SEDA),3429136.0,1658072.0,7852428.0,920157.0
Tianjin Samsung Telecom Technology(TSTC),2939027.0,1415277.0,15293633.0,767822.0
Samsung Asia Private(SAPL),2425585.0,1099521.0,1558990.0,674510.0
Samsung India Electronics(SIEL),1924832.0,1195824.0,6737419.0,324171.0
Samsung Electronics Europe Logistics(SELS),1903892.0,1806486.0,14543524.0,7613.0
Samsung Electronics Slovakia(SESK),1764078.0,317224.0,4561795.0,140825.0
Samsung Electronics Mexico(SEM),1554638.0,1311133.0,3261067.0,9886.0
Thai Samsung Electronics(TSE),1476296.0,373181.0,5033203.0,222389.0
Samsung Electronics Rus Company(SERC),1410054.0,1107915.0,5809646.0,-11137.0
