구 분,구 분_2,당기,전기
배당받을주식,보통주,"130,204,596주","130,915,121주"
배당받을주식,우선주,"19,722,484주","19,853,734주"
배 당 률,보통주,390%,276%
배 당 률,우선주,391%,277%
배 당 금 액 (백만원),보통주,2538990.0,1806629.0
배 당 금 액 (백만원),우선주,385574.0,274974.0
배 당 금 액 (백만원),계,2924564.0,2081603.0
