구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,-197296.0,-19906.0,-195902.0,-7519.0
대손상각비(환입),740.0,10552.0,-3212.0,-12603.0
제각,83.0,39.0,1818.0,217.0
기타,488.0,2.0,0.0,-1.0
기말,-195985.0,-9313.0,-197296.0,-19906.0
