구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,134051.0,-134051.0,254085.0,-254085.0
EUR,53007.0,-53007.0,25722.0,-25722.0
JPY,-1254.0,1254.0,15317.0,-15317.0
