구분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산,,금융자산,,금융자산
현금및현금성자산,1643318.0,(*),2030307.0,(*)
단기금융상품,26454093.0,(*),27463345.0,(*)
단기매도가능금융자산,2137533.0,2137533,1488527.0,1488527
매출채권,18940786.0,(*),17748978.0,(*)
장기매도가능금융자산,7106234.0,7106234,3956952.0,3956952
기타,4884383.0,4861921,3935422.0,3920749
소계,61166347.0,,56623531.0,
금융부채,,금융부채,,금융부채
매입채무,4677527.0,(*),5742116.0,(*)
단기차입금,2928182.0,(*),2811565.0,(*)
미지급금,6358319.0,(*),5299184.0,(*)
유동성사채,5304.0,(*),5083.0,(*)
사채,63648.0,84792,66079.0,84815
장기미지급금,2305055.0,2390956,769002.0,835869
기타,6952651.0,(*),5507676.0,(*)
소계,23290686.0,,20200705.0,
