구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),기타 충당부채,합 계
기초,260273.0,4074590.0,831436.0,54612.0,5220911.0
순전입액,564195.0,897391.0,177650.0,0.0,1639236.0
사용액,-608618.0,-1296204.0,-363253.0,-45750.0,-2313825.0
기타(*),0.0,135358.0,0.0,2348.0,137706.0
기말,215850.0,3811135.0,645833.0,11210.0,4684028.0
