계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,-33097.0,5312.0,-27785.0,-8010.0,1286.0,-6724.0
토지재평가,-3477691.0,1587.0,-3476104.0,-841601.0,384.0,-841217.0
"종속기업, 관계기업 및 공동기업 투자",-3505141.0,44067.0,-3461074.0,-696612.0,11168.0,-685444.0
감가상각누계액등,119272.0,-55810.0,63462.0,28864.0,-13506.0,15358.0
미수수익,-112135.0,-206240.0,-318375.0,-27137.0,-49910.0,-77047.0
충당부채 및 미지급비용 등,6638333.0,1399410.0,8037743.0,1606477.0,338657.0,1945134.0
외화평가조정,-129565.0,-69090.0,-198655.0,-31355.0,-16719.0,-48074.0
자산손상,123635.0,42395.0,166030.0,29920.0,10259.0,40179.0
분할시투자주식평가증(*),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,-12673224.0,-103195.0,-12776419.0,-587826.0,-2435756.0,-3023582.0
소 계,-2462791.0,1058436.0,-1404355.0,-527280.0,-2154137.0,-2681417.0
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,940685.0,-60372.0,880313.0,949658.0,-28490.0,921168.0
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,-2382128.0,137187.0,-2244941.0,-576475.0,33199.0,-543276.0
보험수리적평가,1224838.0,218775.0,1443613.0,296411.0,52943.0,349354.0
소 계,-1157290.0,355962.0,-801328.0,-280064.0,86142.0,-193922.0
,,,,,,-1954171.0
