구 분,당기말 | 우선주,당기말 | 보통주,전기말 | 우선주,전기말 | 보통주
주식수(주),3110943.0,17094741.0,2979693.0,16384216.0
취득가액(백만원),755764.0,7673549.0,621843.0,6701589.0
