구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,55745.0,140321.0
종속기업,Samsung Electronics America(SEA),2539420.0,137137.0
종속기업,Samsung (China) Investment(SCIC),71822.0,3259.0
종속기업,Samsung Semiconductor(SSI),1524506.0,62882.0
종속기업,Samsung Austin Semiconductor(SAS),4485.0,250326.0
종속기업,Samsung Electronics Europe Holding(SEEH),2130.0,0.0
종속기업,Samsung Electronics Vietnam(SEV),194333.0,648521.0
종속기업,Samsung Telecommunications America(STA),2810056.0,51193.0
종속기업,Samsung Electronics Huizhou(SEHZ),340334.0,1619890.0
종속기업,Samsung (China) Semiconductor(SCS),16686.0,0.0
종속기업,Samsung Electronica da Amazonia(SEDA),222887.0,3675.0
종속기업,Tianjin Samsung Telecom Technology(TSTC),371178.0,262534.0
종속기업,Samsung Asia Private(SAPL),226480.0,16659.0
종속기업,Samsung India Electronics(SIEL),310297.0,44083.0
종속기업,Samsung Electronics Europe Logistics(SELS),710373.0,282.0
종속기업,Samsung Electronics Slovakia(SESK),41688.0,70.0
종속기업,Samsung Electronics Mexico(SEM),576084.0,1410.0
종속기업,Thai Samsung Electronics(TSE),131876.0,88422.0
종속기업,Samsung Suzhou LCD(SSL),7047.0,0.0
종속기업,Samsung Electronics Rus Company(SERC),317344.0,2443.0
종속기업,Samsung Electronics (UK)(SEUK),134578.0,32031.0
종속기업,Samsung Electronics Taiwan(SET),177115.0,21611.0
종속기업,Shanghai Samsung Semiconductor(SSS),524896.0,240.0
종속기업,Samsung Electronics Benelux(SEBN),105731.0,1151.0
종속기업,Samsung Electronics Hungarian(SEH),9605.0,36.0
종속기업,기타,6165516.0,2497990.0
종속기업,종속기업 계(*1),17592212.0,5886166.0
