구분,삼성카드(*),삼성전기,삼성SDI,삼성에스디에스,삼성테크윈
유동자산,16560926.0,2650765.0,2063192.0,2928998.0,1561706.0
비유동자산,16560926.0,4534578.0,8492479.0,2371102.0,1872518.0
유동부채,10358265.0,1787432.0,1526957.0,1219484.0,1169253.0
비유동부채,10358265.0,1139884.0,1486297.0,197222.0,560191.0
순자산,6202661.0,4258027.0,7542417.0,3883394.0,1704780.0
