구분,삼성카드,삼성전기,삼성SDI,삼성에스디에스,삼성테크윈
수익(매출),2847053.0,8256579.0,5016465.0,7046833.0,2912031.0
계속영업손익(*),273232.0,330240.0,130599.0,312372.0,132493.0
기타포괄손익(*),84153.0,26676.0,-63211.0,-88703.0,21596.0
총포괄손익(*),357385.0,356916.0,67388.0,223669.0,154089.0
