과 목,주석,제 46 (당) 기,제 46 (당) 기_2,제 45 (전) 기,제 45 (전) 기_2
Ⅰ. 매 출 액,,,137825547.0,,158372089.0
Ⅱ. 매 출 원 가,25,,99188713.0,,110731528.0
Ⅲ. 매 출 총 이 익,,,38636834.0,,47640561.0
판매비와관리비,"25, 26",24711840.0,,25833556.0,
Ⅳ. 영 업 이 익,,,13924994.0,,21807005.0
기 타 수 익,27,3507303.0,,3130308.0,
기 타 비 용,27,706929.0,,792210.0,
금 융 수 익,28,4289118.0,,3918900.0,
금 융 비 용,28,3733845.0,,3846744.0,
Ⅴ. 법인세비용차감전순이익,,,17280641.0,,24217259.0
법 인 세 비 용,29,2688860.0,,6287739.0,
Ⅵ. 당 기 순 이 익,,,14591781.0,,17929520.0
Ⅶ. 주 당 이 익,30,,,,
기본주당이익(단위:원),,,96784.0,,118946.0
희석주당이익(단위:원),,,96779.0,,118921.0
