금융자산,대여금 및 수취채권,매도가능금융자산,합계
현금및현금성자산,2030307.0,0.0,2030307.0
단기금융상품,27463345.0,0.0,27463345.0
단기매도가능금융자산,0.0,1488527.0,1488527.0
매출채권,17748978.0,0.0,17748978.0
장기매도가능금융자산,0.0,3956952.0,3956952.0
기타,3935422.0,0.0,3935422.0
계,51178052.0,5445479.0,56623531.0
