과 목,제 46 (당) 기,제 46 (당) 기_2,제 45 (전) 기,제 45 (전) 기_2
Ⅰ. 미처분이익잉여금,,14516403.0,,17854184.0
1. 전기이월이익잉여금,30.0,,30.0,
2. 중간배당액  당기 - 주당배당금(률) : 500원(10%)  전기 - 주당배당금(률) : 500원(10%),-75408.0,,-75366.0,
3. 당기순이익,14591781.0,,17929520.0,
Ⅱ. 이익잉여금처분액,,14516373.0,,17854154.0
1. 기업합리화적립금,4000000.0,,5000000.0,
"2. 배당금  주당배당금(률)  당기 - 보통주 : 19,500원(390%)  우선주 : 19,550원(391%)  전기 - 보통주 : 13,800원(276%)  우선주 : 13,850원(277%)",2924564.0,,2081603.0,
3. 연구및인력개발준비금,6000000.0,,8000000.0,
4. 시설적립금,1591809.0,,2772551.0,
Ⅲ. 차기이월미처분이익잉여금,,30.0,,30.0
