구 분,당기말
매각예정분류자산,
매출채권,49192.0
재고자산,5928.0
기타유동자산,1578.0
유형자산,15150.0
투자자산,389558.0
기타비유동자산,277.0
계,461683.0
매각예정분류부채,
유동부채,17740.0
비유동부채,2519.0
계,20259.0
