구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
매출,6033040.0,8180187.0,294622.0,5200823.0,3232594.0
계속영업이익(*),14707.0,463858.0,-176832.0,-878504.0,88263.0
세후중단영업이익(*),0.0,0.0,0.0,1089615.0,0.0
기타포괄손익(*),41212.0,35664.0,108.0,-222175.0,-13711.0
총포괄손익(*),55919.0,499522.0,-176724.0,-11064.0,74552.0
