구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이,12598.0,122269.0
종속기업,Samsung Electronics America(SEA),5255201.0,78931.0
종속기업,"Harman International Industries, Inc.",0.0,4204.0
종속기업,Samsung (China) Investment(SCIC),31580.0,1556.0
종속기업,Samsung Display Vietnam(SDV),111479.0,0.0
종속기업,Samsung Semiconductor(SSI),4993262.0,127706.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),723655.0,1601102.0
종속기업,Samsung Electronics Vietnam(SEV),517266.0,1368151.0
종속기업,Samsung Electronics Europe Holding(SEEH),828.0,0.0
종속기업,Samsung (China) Semiconductor(SCS),62820.0,354866.0
종속기업,Samsung Electronics Huizhou(SEHZ),199187.0,811510.0
종속기업,Samsung India Electronics(SIEL),1821881.0,14594.0
종속기업,Samsung Asia Private(SAPL),122014.0,16021.0
종속기업,Samsung Electronica da Amazonia(SEDA),338256.0,553.0
종속기업,Shanghai Samsung Semiconductor(SSS),3093641.0,11.0
종속기업,Samsung Austin Semiconductor(SAS),19658.0,290978.0
종속기업,Thai Samsung Electronics(TSE),150896.0,152273.0
종속기업,Samsung Electronics Slovakia(SESK),475672.0,409.0
