구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
유동자산,2812409.0,4548448.0,1461425.0,3958266.0,1794812.0
비유동자산,4850220.0,2293556.0,6071580.0,10942046.0,356619.0
유동부채,2043155.0,1347385.0,2476545.0,2212796.0,1244899.0
비유동부채,1281889.0,203495.0,974089.0,1723405.0,130248.0
순자산,4337585.0,5291124.0,4082371.0,10964111.0,776284.0
