금융부채,상각후원가로 측정하는 금융부채,기타금융부채(*),계
매입채무,6162650.0,0.0,6162650.0
단기차입금,0.0,9061167.0,9061167.0
미지급금,7519413.0,0.0,7519413.0
유동성장기부채,5854.0,0.0,5854.0
사채,58542.0,0.0,58542.0
장기미지급금,2585366.0,0.0,2585366.0
기타,6037993.0,0.0,6037993.0
계,22369818.0,9061167.0,31430985.0
