계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,-368.0,0.0,-368.0,-89.0,-12.0,-101.0
토지재평가,-3444254.0,19021.0,-3425233.0,-833510.0,-108429.0,-941939.0
"종속기업, 관계기업 및 공동기업 투자",-3624457.0,-404334.0,-4028791.0,-575738.0,-206889.0,-782627.0
감가상각누계액 등,42672.0,169789.0,212461.0,10326.0,48101.0,58427.0
미수수익,-235889.0,107888.0,-128001.0,-57085.0,21885.0,-35200.0
충당부채 및 미지급비용 등,7667914.0,-280517.0,7387397.0,1855635.0,175889.0,2031524.0
외화평가조정,41064.0,-233233.0,-192169.0,9938.0,-62784.0,-52846.0
자산손상,971181.0,418362.0,1389543.0,235026.0,147098.0,382124.0
퇴직급여,-1814995.0,404818.0,-1410177.0,-439229.0,51430.0,-387799.0
분할시투자주식평가증(*),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,-1579417.0,2045941.0,466524.0,-318529.0,527447.0,208918.0
소 계,8610273.0,2247735.0,10858008.0,-113255.0,593736.0,480481.0
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,66280.0,-33646.0,32634.0,59936.0,-27302.0,32634.0
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,-263390.0,29703.0,-233687.0,-63740.0,-524.0,-64264.0
순확정급여부채 재측정요소,939248.0,-439938.0,499310.0,227298.0,-89988.0,137310.0
소 계,675858.0,-410235.0,265623.0,163558.0,-90512.0,73046.0
,,,,,,586161.0
