구 분,구 분_2,당기,전기
배당받을주식,보통주,"119,688,369주","122,697,651주"
배당받을주식,우선주,"16,530,409주","17,283,734주"
배당률(액면가 기준),보통주,430%,550%
배당률(액면가 기준),우선주,431%,551%
배당금액,보통주,2573300.0,3374185.0
배당금액,우선주,356230.0,476167.0
배당금액,계,2929530.0,3850352.0
