과 목,주 석,제 55 (당) 기,제 55 (당) 기_2,제 54 (전) 기,제 54 (전) 기_2
Ⅰ. 영업활동 현금흐름,,,34455084.0,,44788749.0
1. 영업에서 창출된 현금흐름,,8088628.0,,49589897.0,
가. 당기순이익,,25397099.0,,25418778.0,
나. 조정,27.0,-4092924.0,,31039388.0,
다. 영업활동으로 인한 자산부채의 변동,27.0,-13215547.0,,-6868269.0,
2. 이자의 수취,,332111.0,,339560.0,
3. 이자의 지급,,-798649.0,,-287488.0,
4. 배당금 수입,,29497803.0,,3551435.0,
5. 법인세 납부액,,-2664809.0,,-8404655.0,
Ⅱ. 투자활동 현금흐름,,,-47571537.0,,-28123886.0
1. 단기금융상품의 순감소(증가),,-49934.0,,15000439.0,
2. 기타포괄손익-공정가치금융자산의 처분,,15538.0,,10976.0,
3. 기타포괄손익-공정가치금융자산의 취득,,-15515.0,,0.0,
4. 당기손익-공정가치금융자산의 처분,,243.0,,1744.0,
"5. 종속기업, 관계기업 및 공동기업 투자의 처분",,144292.0,,165089.0,
"6. 종속기업, 관계기업 및 공동기업 투자의 취득",,-108300.0,,-1001723.0,
7. 유형자산의 처분,,164415.0,,288684.0,
8. 유형자산의 취득,,-45026206.0,,-39160176.0,
9. 무형자산의 처분,,12002.0,,6242.0,
10. 무형자산의 취득,,-2639614.0,,-3298378.0,
11. 기타 투자활동으로 인한 현금유출입액,,-68458.0,,-136783.0,
Ⅲ. 재무활동 현금흐름,,,15268902.0,,-16665064.0
1. 단기차입금의 순증가(감소),27.0,3274337.0,,-6700826.0,
2. 장기차입금의 차입,27.0,21990000.0,,0.0,
3. 사채 및 장기차입금의 상환,27.0,-185316.0,,-155264.0,
4. 배당금의 지급,,-9810119.0,,-9808974.0,
Ⅳ. 외화환산으로 인한 현금의 변동,,,-12591.0,,2922.0
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,2139858.0,,2721.0
Ⅵ. 기초의 현금및현금성자산,,,3921593.0,,3918872.0
Ⅶ. 기말의 현금및현금성자산,,,6061451.0,,3921593.0
