금융자산,당기,전기
기초,116726.0,120347.0
매입,27784.0,0.0
매도,-343.0,-12720.0
당기손익으로 인식된 손익,365451.0,-108.0
기타포괄손익으로 인식된 손익,-19215.0,22926.0
기타,0.0,-13719.0
기말,490403.0,116726.0
