구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,2279.0,510528.0,39038.0,178480.0,730325.0
일반취득,26.0,261999.0,1380.0,410088.0,673493.0
감가상각,-439.0,-128754.0,-23276.0,-19120.0,-171589.0
계약의 해지,0.0,-1070.0,0.0,-737.0,-1807.0
기타,0.0,-3.0,4993.0,601.0,5591.0
기말장부금액,1866.0,642700.0,22135.0,569312.0,1236013.0
