구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,56432.0,6387.0,56610.0,4397.0
대손상각(환입),2308.0,-145.0,-178.0,1994.0
제각,0.0,-12.0,0.0,-4.0
기말,58740.0,6230.0,56432.0,6387.0
