기업명(*1),자산,부채,매출액,당기순이익(손실)
삼성디스플레이,50723199.0,12243688.0,30111427.0,3352802.0
Samsung Electronics America(SEA),26266636.0,8980828.0,33329340.0,-70198.0
Harman과 그 종속기업(*2),14676715.0,5391669.0,7103437.0,209015.0
Samsung (China) Investment(SCIC),13409281.0,11297307.0,5133676.0,268481.0
Samsung Display Vietnam(SDV),10460755.0,9495803.0,18193257.0,1257300.0
Samsung Semiconductor(SSI),10125193.0,5376696.0,28870987.0,83113.0
Samsung Electronics Vietnam THAINGUYEN(SEVT),10044337.0,2325221.0,28323302.0,3043210.0
Samsung Electronics Vietnam(SEV),9592074.0,1875105.0,19344045.0,2007876.0
Samsung Electronics Europe Holding(SEEH),9474960.0,7241753.0,0.0,18294.0
Samsung (China) Semiconductor(SCS),8076107.0,1499220.0,4513291.0,1359007.0
Samsung Electronics Huizhou(SEHZ),6440564.0,980064.0,13521077.0,689594.0
Samsung India Electronics(SIEL),6200351.0,3406484.0,10393877.0,654408.0
Samsung Asia Private(SAPL),6138652.0,481546.0,1848905.0,1293924.0
Samsung Electronica da Amazonia(SEDA),5838533.0,1514891.0,7108691.0,1449426.0
Shanghai Samsung Semiconductor(SSS),5169438.0,4182832.0,24198255.0,236410.0
