구 분,당기말 | Level 1,당기말 | Level 2,당기말 | Level 3,당기말 | 계
(1) 자 산,,,,
기타포괄손익-공정가치금융자산,1022720.0,0.0,75845.0,1098565.0
당기손익-공정가치금융자산,0.0,0.0,7413.0,7413.0
(2) 부 채,,,,
사채,0.0,57733.0,0.0,57733.0
