구 분,구 분_2,구 분_3,당기,전기
1분기,배당받을 주식,보통주,"119,395,651주","121,840,851주"
1분기,배당받을 주식,우선주,"16,457,734주","17,069,534주"
1분기,배당률(액면가 기준),,354%,140%
1분기,배당금액,보통주,2113303.0,852886.0
1분기,배당금액,우선주,291302.0,119487.0
1분기,배당금액,계,2404605.0,972373.0
2분기,배당받을 주식(*),보통주,"5,969,782,550주","121,038,051주"
2분기,배당받을 주식(*),우선주,"822,886,700주","16,868,834주"
2분기,배당률(액면가 기준),,354%,140%
2분기,배당금액,보통주,2113303.0,847266.0
2분기,배당금액,우선주,291302.0,118082.0
2분기,배당금액,계,2404605.0,965348.0
3분기,배당받을 주식(*),보통주,"5,969,782,550주","120,316,189주"
3분기,배당받을 주식(*),우선주,"822,886,700주","16,691,095주"
3분기,배당률(액면가 기준),,354%,140%
3분기,배당금액,보통주,2113303.0,842213.0
3분기,배당금액,우선주,291302.0,116838.0
3분기,배당금액,계,2404605.0,959051.0
