계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,-368.0,368.0,0.0,-101.0,101.0,0.0
토지재평가,-3425233.0,2953.0,-3422280.0,-941939.0,812.0,-941127.0
"종속기업, 관계기업 및 공동기업 투자",-4028791.0,34347.0,-3994444.0,-782627.0,9446.0,-773181.0
감가상각누계액 등,212461.0,-8616.0,203845.0,58427.0,-2370.0,56057.0
미수수익,-128001.0,-105774.0,-233775.0,-35200.0,-29088.0,-64288.0
충당부채 및 미지급비용 등,7387397.0,-444249.0,6943148.0,2031524.0,-122158.0,1909366.0
외화평가조정,-192169.0,91320.0,-100849.0,-52846.0,25112.0,-27734.0
자산손상,1305376.0,40921.0,1346297.0,358978.0,11254.0,370232.0
퇴직급여,-1410177.0,-73777.0,-1483954.0,-387799.0,-20288.0,-408087.0
분할시투자주식평가증(*),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,466524.0,686704.0,1153228.0,208918.0,8028.0,216946.0
소 계,10773841.0,224197.0,10998038.0,457335.0,-119151.0,338184.0
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,32634.0,44968.0,77602.0,32634.0,44968.0,77602.0
자본에 직접 가감하는 이연법인세,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,-149520.0,118127.0,-31393.0,-41118.0,32485.0,-8633.0
순확정급여부채 재측정요소,499310.0,399974.0,899284.0,137310.0,109993.0,247303.0
소 계,349790.0,518101.0,867891.0,96192.0,142478.0,238670.0
,,,,,,654456.0
