지역,기업명,업종,지분율 (%)(*)
아시아 (중국제외),Samsung Japan(SJC),전자제품 판매,100.0
아시아 (중국제외),Samsung R&D Institute Japan(SRJ),R&D,100.0
아시아 (중국제외),Samsung Electronics Japan(SEJ),전자제품 판매,100.0
아시아 (중국제외),Samsung Electronics Display (M)(SDMA),전자제품 생산,100.0
아시아 (중국제외),Samsung Electronics (M)(SEMA),가전제품 생산,100.0
아시아 (중국제외),Samsung Vina Electronics(SAVINA),전자제품 판매,100.0
아시아 (중국제외),Samsung Asia Private(SAPL),전자제품 판매,100.0
아시아 (중국제외),Samsung India Electronics(SIEL),전자제품 생산 및 판매,100.0
아시아 (중국제외),Samsung R&D Institute India-Bangalore(SRI-B),R&D,100.0
아시아 (중국제외),Samsung Nepal Services(SNSL),서비스,100.0
아시아 (중국제외),Samsung Electronics Australia(SEAU),전자제품 판매,100.0
아시아 (중국제외),Samsung Electronics Indonesia(SEIN),전자제품 생산 및 판매,100.0
아시아 (중국제외),Samsung Telecommunications Indonesia(STIN),전자제품 판매 및 서비스,100.0
아시아 (중국제외),Thai Samsung Electronics(TSE),전자제품 생산 및 판매,91.8
아시아 (중국제외),Samsung Electronics Philippines(SEPCO),전자제품 판매,100.0
아시아 (중국제외),Samsung Malaysia Electronics(SME),전자제품 판매,100.0
아시아 (중국제외),Samsung R&D Institute Bangladesh(SRBD),R&D,100.0
아시아 (중국제외),Samsung Electronics Vietnam(SEV),전자제품 생산,100.0
아시아 (중국제외),Samsung Electronics Vietnam THAINGUYEN(SEVT),통신제품 생산 및 판매,100.0
아시아 (중국제외),Samsung Medison India(SMIN),의료기기,100.0
아시아 (중국제외),Samsung Electronics New Zealand(SENZ),전자제품 판매,100.0
아시아 (중국제외),Samsung Display Vietnam(SDV),디스플레이 생산,100.0
아시아 (중국제외),Samsung Electronics HCMC CE Complex(SEHC),전자제품 생산 및 판매,100.0
아시아 (중국제외),Laos Samsung Electronics Sole(LSE),마케팅,100.0
아시아 (중국제외),AMX Products and Solutions Private,오디오제품 판매,100.0
아시아 (중국제외),Harman Connected Services India,Connected Service Provider,100.0
아시아 (중국제외),Harman International (India) Private,"오디오제품 판매, R&D",100.0
아시아 (중국제외),Harman International Industries PTY,Holding Company,100.0
아시아 (중국제외),Harman International Singapore,오디오제품 판매,100.0
아시아 (중국제외),Harman Professional Singapore Pte.,오디오제품 판매,100.0
아시아 (중국제외),Martin Professional Pte.,오디오제품 판매,100.0
아시아 (중국제외),Harman Connected Services Japan,Connected Service Provider,100.0
아시아 (중국제외),Harman International Japan,"오디오제품 판매, R&D",100.0
아시아 (중국제외),Red Bend Software Japan,소프트웨어 디자인,100.0
아시아 (중국제외),Studer Japan,Holding Company,100.0
