금융자산,당기,전기
기초,22921.0,23785.0
매도,-8391.0,0.0
평가(당기손익),-1361.0,0.0
평가(기타포괄손익),-7595.0,-864.0
기타(*),77684.0,0.0
기말,83258.0,22921.0
