구 분,당기말 | 평가전금액,당기말 | 평가충당금(*),당기말 | 장부가액,전기말 | 평가전금액,전기말 | 평가충당금(*),전기말 | 장부가액
제품 및 상품,3045263.0,-300008.0,2745255.0,2187441.0,-484364.0,1703077.0
반제품 및 재공품,8328324.0,-403623.0,7924701.0,4512627.0,-124510.0,4388117.0
원재료 및 저장품,1523979.0,-263632.0,1260347.0,1643250.0,-263886.0,1379364.0
미착품,510648.0,0.0,510648.0,366586.0,0.0,366586.0
계,13408214.0,-967263.0,12440951.0,8709904.0,-872760.0,7837144.0
