구 분,기업명(*1),채권 등,채무 등
종속기업,Samsung Electronics GmbH(SEG),831102.0,2484.0
종속기업,Samsung Electronics (UK)(SEUK),71493.0,16517.0
종속기업,Samsung Electronics Indonesia(SEIN),185909.0,55394.0
종속기업,기타,7160968.0,2122030.0
종속기업,종속기업 계(*2),27160827.0,7387130.0
관계기업 및 공동기업,삼성에스디에스,14005.0,378894.0
관계기업 및 공동기업,삼성전기,3521.0,132156.0
관계기업 및 공동기업,삼성SDI,87830.0,58261.0
관계기업 및 공동기업,제일기획,58.0,498262.0
관계기업 및 공동기업,기타,55035.0,101234.0
관계기업 및 공동기업,관계기업 및 공동기업 계,160449.0,1168807.0
그 밖의 특수관계자,삼성물산,218983.0,617069.0
그 밖의 특수관계자,기타(*3),17901.0,1233887.0
그 밖의 특수관계자,그 밖의 특수관계자 계,236884.0,1850956.0
기타(*4),삼성엔지니어링,2426.0,410763.0
기타(*4),에스원,649.0,42590.0
기타(*4),기타,2621.0,28772.0
기타(*4),기타 계,5696.0,482125.0
