금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
평가손익(기타포괄손익),0.0,-88340.0,0.0,-88340.0
평가/처분손익(당기손익),0.0,0.0,57545.0,57545.0
이자수익,736731.0,0.0,0.0,736731.0
외환차이(당기손익),-222067.0,0.0,0.0,-222067.0
배당금수익,0.0,2283.0,0.0,2283.0
손상/환입(당기손익),56776.0,0.0,0.0,56776.0
