구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
유동자산,2478798.0,5117499.0,620995.0,3605076.0,1889096.0
비유동자산,5288605.0,2160262.0,6562096.0,12146401.0,349197.0
유동부채,2454110.0,1324862.0,2287442.0,2670360.0,1281293.0
비유동부채,981802.0,233469.0,919198.0,1629117.0,101012.0
순자산,4331491.0,5719430.0,3976451.0,11452000.0,855988.0
