구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,53318.0,0.0,1767847.0,259287.0
관계기업 및 공동기업,삼성전기,25657.0,0.0,854389.0,302.0
관계기업 및 공동기업,삼성SDI,46972.0,0.0,272771.0,50973.0
관계기업 및 공동기업,제일기획,11655.0,0.0,731436.0,1079.0
관계기업 및 공동기업,기타,246458.0,0.0,535896.0,2750.0
관계기업 및 공동기업,관계기업 및 공동기업 계,384060.0,0.0,4162339.0,314391.0
그 밖의 특수관계자,삼성물산,123333.0,68.0,232600.0,3079642.0
그 밖의 특수관계자,기타,136846.0,35.0,383866.0,70853.0
그 밖의 특수관계자,그 밖의 특수관계자 계,260179.0,103.0,616466.0,3150495.0
기타(*2),삼성엔지니어링,8734.0,0.0,38466.0,1227972.0
기타(*2),에스원,29156.0,0.0,278913.0,45939.0
기타(*2),기타,61418.0,3.0,158146.0,330.0
기타(*2),기타 계,99308.0,3.0,475525.0,1274241.0
