구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,315020.0,18045.0,257769.0,16347.0
대손상각(환입),-53579.0,-3128.0,57822.0,2408.0
제각,0.0,-1.0,-488.0,-710.0
기타,-853.0,-4.0,-83.0,0.0
기말,260588.0,14912.0,315020.0,18045.0
