해외종속기업,보증처,보증기간,금액 | 실차입금,금액 | 지급보증금액
Samsung Electronics Columbia(SAMCOL),Citibank 외,2019-06-13,94584.0,187841.0
Samsung Electronics Turkey(SETK),BNP 외,2019-06-13,72139.0,919078.0
Samsung Electronics Peru(SEPR),BBVA 외,2019-06-13,65643.0,201258.0
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2019-06-13,8623.0,8623.0
기타,,,0.0,7942729.0
합계,,,240989.0,9259529.0
