구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
연체되지 않은 채권,25424293.0,1395176.0,27918884.0,2019741.0
연체된 채권(*) :,,,,
31일 이하,99277.0,36250.0,185199.0,98684.0
31일 초과 90일 이하,77532.0,27180.0,93119.0,15469.0
90일 초과,106513.0,94756.0,106219.0,108132.0
소 계,283322.0,158186.0,384537.0,222285.0
합 계,25707615.0,1553362.0,28303421.0,2242026.0
