구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타충당부채 (라),(마)",계
기초,188333.0,1663429.0,577180.0,223947.0,2652889.0
순전입액(환입액),378818.0,-42870.0,201615.0,368960.0,906523.0
사용액,-376156.0,-590625.0,-197979.0,-276234.0,-1440994.0
기타(*),0.0,104445.0,0.0,284668.0,389113.0
기말,190995.0,1134379.0,580816.0,601341.0,2507531.0
