구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,6276070.0,11376704.0,17955513.0,11004840.0,615703.0,47228830.0
취득원가,6276070.0,16852926.0,86461021.0,11004840.0,1569937.0,122164794.0
감가상각누계액  (손상차손누계액 포함),0.0,-5476222.0,-68505508.0,0.0,-954234.0,-74935964.0
일반취득 및 자본적지출,1588975.0,3989253.0,22089776.0,-1504886.0,397138.0,26560256.0
감가상각,0.0,-904081.0,-9365343.0,0.0,-229979.0,-10499403.0
처분/폐기,-32156.0,-11906.0,-57689.0,0.0,-3018.0,-104769.0
기타,0.0,-2679.0,-6100.0,-360459.0,1285.0,-367953.0
기말장부가액,7832889.0,14447291.0,30616157.0,9139495.0,781129.0,62816961.0
취득원가,7832889.0,20818067.0,105582797.0,9139495.0,1840581.0,145213829.0
감가상각누계액  (손상차손누계액 포함),0.0,-6370776.0,-74966640.0,0.0,-1059452.0,-82396868.0
