구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,59453.0,-59453.0,8221.0,-8221.0
EUR,-82316.0,82316.0,19560.0,-19560.0
JPY,-8024.0,8024.0,1134.0,-1134.0
INR,92121.0,-92121.0,77966.0,-77966.0
