구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
유동자산,3525293.0,5881776.0,1577684.0,5519342.0,1889015.0
비유동자산,5119621.0,2132073.0,4402725.0,13830379.0,378586.0
유동부채,2509584.0,1574797.0,710530.0,4012822.0,1251332.0
비유동부채,1188833.0,290501.0,1114410.0,3111680.0,123476.0
순자산,4946497.0,6148551.0,4155469.0,12225219.0,892793.0
