구 분,기준서 제1115호 채택 전 금액,조 정,기준서 제1115호 조정 후 금액
매출,170370882.0,10988.0,170381870.0
매출원가,101655518.0,10988.0,101666506.0
매출총이익,68715364.0,0.0,68715364.0
영업이익,43699451.0,0.0,43699451.0
법인세비용,11583728.0,0.0,11583728.0
당기순이익,32815127.0,0.0,32815127.0
당기총포괄이익,32436806.0,0.0,32436806.0
