기업명,당기말 | 주식수,당기말 | 시장가치,당기말 | 장부가액,전기말 | 시장가치,전기말 | 장부가액
삼성전기,17693084.0,1831234.0,445244.0,1769308.0,445244.0
삼성에스디에스,17472110.0,3564310.0,560827.0,3494422.0,560827.0
삼성바이오로직스,20836832.0,8053436.0,443193.0,7730465.0,443193.0
삼성SDI,13462673.0,2948325.0,1242605.0,2753117.0,1242605.0
제일기획,29038075.0,653357.0,491599.0,615607.0,491599.0
