구 분,기준서 제1115호 채택 전 금액,조 정,기준서 제1115호 조정 후 금액
매출채권,24417675.0,515592.0,24933267.0
선급비용,2228658.0,1970.0,2230628.0
재고자산,12447241.0,-6290.0,12440951.0
기타유동자산,1369051.0,21389.0,1390440.0
자산 총계,218488696.0,532661.0,219021357.0
미지급비용,5642887.0,486950.0,6129837.0
기타,60291.0,45711.0,106002.0
부채 총계,45500571.0,532661.0,46033232.0
자본 총계,172988125.0,0.0,172988125.0
