금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
현금및현금성자산,2607957.0,0.0,0.0,2607957.0
단기금융상품,34113871.0,0.0,0.0,34113871.0
매출채권,24933267.0,0.0,0.0,24933267.0
기타포괄손익-공정가치금융자산,0.0,1098565.0,0.0,1098565.0
당기손익-공정가치금융자산,0.0,0.0,7413.0,7413.0
기타,4630073.0,0.0,0.0,4630073.0
계,66285168.0,1098565.0,7413.0,67391146.0
