구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds,1997.10.2,2027.10.1,7.7,"50,315 (US$45,000천)","53,570 (US$50,000천)"
1년이내 만기도래분,1년이내 만기도래분,1년이내 만기도래분,,-5591.0,-5357.0
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-1208.0,-1405.0
계,계,계,,43516.0,46808.0
