구 분,구 분_2,당기,전기
배당받을 주식(*),보통주,"5,969,782,550주","119,688,369주"
배당받을 주식(*),우선주,"822,886,700주","16,530,409주"
배당률(액면가 기준),보통주,354%,430%
배당률(액면가 기준),우선주,355%,431%
배당금액,보통주,2113303.0,2573300.0
배당금액,우선주,292125.0,356230.0
배당금액,계,2405428.0,2929530.0
