구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,257769.0,16347.0,212384.0,20482.0
대손상각(환입),57822.0,2408.0,48063.0,-3949.0
제각,-488.0,-710.0,-233.0,-45.0
기타,-83.0,0.0,-2445.0,-141.0
기말,315020.0,18045.0,257769.0,16347.0
