구 분,산업재산권,개발비,회원권,기타의 무형자산,계
기초장부가액,944166.0,1180618.0,151043.0,616017.0,2891844.0
내부개발에 의한 취득,0.0,447540.0,0.0,0.0,447540.0
개별 취득,200512.0,0.0,57560.0,137484.0,395556.0
상각,-168707.0,-687365.0,0.0,-230226.0,-1086298.0
처분/폐기,-21284.0,0.0,-1124.0,-41.0,-22449.0
손상,0.0,-110409.0,-23617.0,0.0,-134026.0
기타,0.0,0.0,6686.0,328182.0,334868.0
기말장부가액,954687.0,830384.0,190548.0,851416.0,2827035.0
