과 목,주석,제 49 (당) 기,제 49 (당) 기_2,제 48 (전) 기,제 48 (전) 기_2
Ⅰ. 영업활동 현금흐름,,,38906190.0,,23984804.0
1. 영업에서 창출된 현금흐름,,41350471.0,,24901464.0,
가. 당기순이익,,28800837.0,,11579749.0,
나. 조정,30.0,18012976.0,,14910093.0,
다. 영업활동으로 인한 자산부채의 변동,30.0,-5463342.0,,-1588378.0,
2. 이자의 수취,,491501.0,,622118.0,
3. 이자의 지급,,-265364.0,,-208010.0,
4. 배당금 수입,,1118779.0,,903758.0,
5. 법인세 납부액,,-3789197.0,,-2234526.0,
Ⅱ. 투자활동 현금흐름,,,-28118806.0,,-14240450.0
1. 단기금융상품의 순감소(증가),,2960592.0,,-1407068.0,
2. 단기매도가능금융자산의 처분,,0.0,,3010003.0,
3. 장기금융상품의 처분,,1700000.0,,700000.0,
4. 장기금융상품의 취득,,-500000.0,,-1700000.0,
5. 장기매도가능금융자산의 처분,,98265.0,,692547.0,
6. 장기매도가능금융자산의 취득,,-163765.0,,-477744.0,
"7. 종속기업, 관계기업 및 공동기업 투자의 처분",,1438362.0,,2416678.0,
"8. 종속기업, 관계기업 및 공동기업 투자의 취득",,-7492843.0,,-4648008.0,
9. 유형자산의 처분,,244033.0,,335288.0,
10. 유형자산의 취득,,-25641229.0,,-12161084.0,
11. 무형자산의 처분,,456.0,,6357.0,
12. 무형자산의 취득,,-843096.0,,-1046676.0,
13. 현금의 기타유입,,80419.0,,39257.0,
Ⅲ. 재무활동 현금흐름,,,-11801987.0,,-9037006.0
1. 단기차입금의 순증가,,3300611.0,,1737871.0,
2. 자기주식의 취득,,-8350424.0,,-7707938.0,
3. 사채의 상환,,-6043.0,,-5860.0,
4. 배당금의 지급,,-6746131.0,,-3061079.0,
Ⅳ. 외화환산으로 인한 현금의 변동,,,0.0,,8063.0
Ⅴ. 현금및현금성자산의 (감소)증가 (Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,-1014603.0,,715411.0
Ⅵ. 기초의 현금및현금성자산,,,3778371.0,,3062960.0
Ⅶ. 기말의 현금및현금성자산,,,2763768.0,,3778371.0
