금융자산,대여금 및 수취채권,매도가능금융자산,계
현금및현금성자산,2763768.0,0.0,2763768.0
단기금융상품,25510064.0,0.0,25510064.0
매출채권,27881777.0,0.0,27881777.0
장기매도가능금융자산,0.0,973353.0,973353.0
기타,3623263.0,0.0,3623263.0
계,59778872.0,973353.0,60752225.0
