구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
매출,6838474.0,9299206.0,464629.0,6321561.0,3374987.0
계속영업손익(*),161739.0,530348.0,-96972.0,657236.0,127153.0
기타포괄손익(*),-132298.0,-63585.0,-8957.0,27870.0,-25115.0
총포괄손익(*),29441.0,466763.0,-105929.0,685106.0,102038.0
