해외종속기업,보증처,보증기간,금액 | 실차입금,금액 | 지급보증금액
Samsung Electronics Turkey(SETK),BTMU 외,2018-12-16,259648.0,808907.0
Samsung Electronics Peru(SEPR),BBVA 외,2018-12-16,43017.0,192852.0
Samsung Electronics Chile Limitada(SECH),Citibank 외,2018-12-16,15684.0,190709.0
Samsung Electronica Columbia(SAMCOL),Citibank 외,2018-12-16,71718.0,179995.0
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2018-06-13,82947.0,133925.0
기타,,,0.0,7379320.0
합계,,,473014.0,8885708.0
