구 분,산업재산권,개발비,회원권,기타의 무형자산,계
기초장부가액,950499.0,1697545.0,151593.0,607592.0,3407229.0
내부개발에 의한 취득,0.0,680962.0,0.0,0.0,680962.0
개별 취득,239897.0,0.0,0.0,125817.0,365714.0
상각,-160144.0,-748573.0,0.0,-234713.0,-1143430.0
처분/폐기,-48678.0,0.0,-550.0,-2363.0,-51591.0
손상,0.0,-449297.0,0.0,0.0,-449297.0
기타,-37408.0,-19.0,0.0,119684.0,82257.0
기말장부가액,944166.0,1180618.0,151043.0,616017.0,2891844.0
