지역,기업명,업종,지분율 (%)(*)
유럽/CIS,Samsung Electronics Caucasus(SECC),마케팅,100.0
유럽/CIS,Joyent(UK),클라우드 서비스,100.0
유럽/CIS,Harman Connected Services OOO,Connected Service Provider,100.0
유럽/CIS,Harman RUS CIS LLC,오디오제품 판매,100.0
유럽/CIS,Aditi Technologies Europe,오디오제품 판매 등,100.0
유럽/CIS,AKG Acoustics,"오디오제품 생산, 판매",100.0
유럽/CIS,AMX (Germany),오디오제품 판매,100.0
유럽/CIS,AMX UK,오디오제품 판매,100.0
유럽/CIS,Duran Audio B.V.,"오디오제품 판매, R&D",100.0
유럽/CIS,Duran Audio Iberia Espana,오디오제품 판매,100.0
유럽/CIS,Endeleo,"오디오제품 판매, R&D",100.0
유럽/CIS,Harman Automotive UK,오디오제품 생산,100.0
유럽/CIS,Harman Becker Automotive Systems (Germany),"오디오제품 생산, 판매, R&D",100.0
유럽/CIS,Harman Becker Automotive Systems Italy,오디오제품 판매,100.0
유럽/CIS,Harman Becker Automotive Systems Manufacturing Kft,"오디오제품 생산, R&D",100.0
유럽/CIS,Harman Belgium,오디오제품 판매,100.0
유럽/CIS,Harman Connected Services AB.,Connected Service Provider,100.0
유럽/CIS,Harman Connected Services Finland OY,Connected Service Provider,100.0
유럽/CIS,Harman Connected Services (Germany),Connected Service Provider,100.0
유럽/CIS,Harman Connected Services,Connected Service Provider,100.0
유럽/CIS,Harman Connected Services Poland Sp.zoo,Connected Service Provider,100.0
유럽/CIS,Harman Connected Services UK,Connected Service Provider,100.0
유럽/CIS,Harman Consumer Division Nordic A/S,오디오제품 판매,100.0
유럽/CIS,Harman Consumer Finland OY,오디오제품 판매,100.0
유럽/CIS,Harman Consumer Nederland B.V.,오디오제품 판매,100.0
유럽/CIS,Harman Deutschland,오디오제품 판매,100.0
유럽/CIS,Harman Finance International GP S.a.r.l,Holding Company,100.0
유럽/CIS,Harman Finance International SCA,Financing Company,100.0
유럽/CIS,Harman France SNC,오디오제품 판매,100.0
유럽/CIS,Harman Holding & Co. KG,Management Company,100.0
유럽/CIS,Harman Hungary Financing,Financing Company,100.0
유럽/CIS,Harman Inc. & Co. KG,Holding Company,100.0
유럽/CIS,Harman International Estonia OU,R&D,100.0
