구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,8221.0,-8221.0,4193.0,-4193.0
EUR,19560.0,-19560.0,33367.0,-33367.0
JPY,1134.0,-1134.0,2250.0,-2250.0
INR,77966.0,-77966.0,38861.0,-38861.0
