구 분,유통보통주식수,유통우선주식수
전기초,127396848.0,18547833.0
- 자기주식 취득,-4699197.0,-1264099.0
전기말,122697651.0,17283734.0
당기초,122697651.0,17283734.0
- 자기주식 취득,-3009282.0,-753325.0
당기말,119688369.0,16530409.0
