구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds,1997.10.2,2027.10.1,7.7,"53,570 (US$50,000천)","66,468 (US$55,000천)"
1년이내 만기도래분,1년이내 만기도래분,1년이내 만기도래분,,-5357.0,-6043.0
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-1405.0,-1883.0
계,계,계,,46808.0,58542.0
